user_id,investment_universe,ai_derived_expertise,is_active,created_at,updated_at,survey_answers,capital,risk_tolerance
0444bd1f-79f3-4458-9f4d-ec172399ac6d,"[""Green Energy"",""Finance""]",novice,true,2026-05-15 21:02:56.61433+00,2026-05-15 21:02:56.61433+00,"{""demo_age"":""35_44"",""demo_gender"":""male"",""demo_income"":""tier_3"",""q_game_show"":""1"",""q_inflation"":""1"",""q_word_risk"":""1"",""demo_marital"":""divorced"",""demo_education"":""graduate"",""q_bond_rotation"":""2"",""q_vacation_loss"":""3"",""q_financial_math"":""3"",""q_geologist_mine"":""1"",""q_diversification"":""1"",""q_friend_describe"":""1"",""q_worst_best_case"":""1"",""q_experience_comfort"":""1"",""q_unexpected_windfall"":""1"",""q_portfolio_allocation"":""1"",""q_financial_knowledge_self"":""1"",""q_investment_participation"":""9""}",1000,Moderate
2381a8f8-74ca-4adb-89e5-16c8b502a507,"[""Real Estate"",""Financials & Fintech""]",advanced,true,2026-05-14 09:16:31.914567+00,2026-05-14 09:16:31.914567+00,"{""demo_age"":""45_54"",""demo_gender"":""male"",""demo_income"":""tier_5"",""q_game_show"":""2"",""q_inflation"":""2"",""q_word_risk"":""1"",""demo_marital"":""married"",""demo_education"":""graduate"",""q_bond_rotation"":""4"",""q_vacation_loss"":""3"",""q_financial_math"":""2"",""q_geologist_mine"":""3"",""q_diversification"":""1"",""q_friend_describe"":""1"",""q_worst_best_case"":""2"",""q_experience_comfort"":""2"",""q_unexpected_windfall"":""2"",""q_portfolio_allocation"":""1"",""q_financial_knowledge_self"":""5"",""q_investment_participation"":""9""}",10000000,Moderate Growth Investor
291755b4-a50c-483a-8e80-7c1d5edba43c,"[""Healthcare & Biotech""]",intermediate,true,2026-05-14 12:19:27.908738+00,2026-05-14 12:19:27.908738+00,"{""demo_age"":""65_74"",""demo_gender"":""male"",""demo_income"":""tier_5"",""q_game_show"":""2"",""q_inflation"":""2"",""q_word_risk"":""2"",""demo_marital"":""partner"",""demo_education"":""graduate"",""q_bond_rotation"":""3"",""q_vacation_loss"":""2"",""q_financial_math"":""2"",""q_geologist_mine"":""2"",""q_diversification"":""3"",""q_friend_describe"":""3"",""q_worst_best_case"":""2"",""q_experience_comfort"":""2"",""q_unexpected_windfall"":""3"",""q_portfolio_allocation"":""2"",""q_financial_knowledge_self"":""3"",""q_investment_participation"":""8""}",1000000,Conservative Investor
35ce0bba-1c7e-4f55-9ddb-81b2990e9bad,"[""Green Energy""]",intermediate,true,2026-05-16 20:43:29.543756+00,2026-05-16 20:43:29.543756+00,"{""demo_age"":""35_44"",""demo_gender"":""male"",""demo_income"":""tier_1"",""q_game_show"":""1"",""q_inflation"":""2"",""q_word_risk"":""2"",""demo_marital"":""single"",""demo_education"":""high_school"",""q_bond_rotation"":""3"",""q_vacation_loss"":""2"",""q_financial_math"":""2"",""q_geologist_mine"":""2"",""q_diversification"":""1"",""q_friend_describe"":""2"",""q_worst_best_case"":""2"",""q_experience_comfort"":""2"",""q_unexpected_windfall"":""2"",""q_portfolio_allocation"":""2"",""q_financial_knowledge_self"":""3"",""q_investment_participation"":""8""}",1,Moderate
3773c61b-ae15-44a0-b323-4ac94e9ce81d,"[""Technology"",""Green Energy""]",intermediate,true,2026-05-14 19:36:43.264333+00,2026-05-14 19:36:43.264333+00,"{""demo_age"":""under_25"",""demo_gender"":""male"",""demo_income"":""tier_3"",""q_game_show"":""2"",""q_inflation"":""2"",""q_word_risk"":""2"",""demo_marital"":""married"",""demo_education"":""bachelors"",""q_bond_rotation"":""2"",""q_vacation_loss"":""2"",""q_financial_math"":""2"",""q_geologist_mine"":""4"",""q_diversification"":""1"",""q_friend_describe"":""3"",""q_worst_best_case"":""4"",""q_experience_comfort"":""2"",""q_unexpected_windfall"":""2"",""q_portfolio_allocation"":""3"",""q_financial_knowledge_self"":""3"",""q_investment_participation"":""8""}",1000000000,Aggressive
401434b1-9837-4bde-b5ac-c9ade108b0c0,"[""Technology & AI""]",novice,true,2026-05-07 21:45:14.2408+00,2026-05-07 21:45:14.2408+00,"{""sliders"":{""q_control"":50,""q_time_horizon"":50,""q_risk_vs_reward"":50,""q_financial_literacy"":50},""scenarios"":{""q_windfall"":""index_fund"",""q_hype_trend"":""momentum"",""q_market_crash"":""ignore"",""q_ai_relationship"":""mentor""},""explicit_risk"":""Moderate""}",50000,Moderate
50e59e3b-c5b8-4c89-9d2f-b56ed4735560,"[""Real Estate"",""Healthcare & Biotech"",""Financials & Fintech""]",novice,true,2026-05-14 16:15:17.817357+00,2026-05-14 16:15:17.817357+00,"{""demo_age"":""25_34"",""demo_gender"":""female"",""demo_income"":""tier_2"",""q_game_show"":""3"",""q_inflation"":""1"",""q_word_risk"":""2"",""demo_marital"":""widowed"",""demo_education"":""bachelors"",""q_bond_rotation"":""2"",""q_vacation_loss"":""2"",""q_financial_math"":""1"",""q_geologist_mine"":""2"",""q_diversification"":""3"",""q_friend_describe"":""1"",""q_worst_best_case"":""2"",""q_experience_comfort"":""2"",""q_unexpected_windfall"":""3"",""q_portfolio_allocation"":""2"",""q_financial_knowledge_self"":""2"",""q_investment_participation"":""7""}",100,Aggressive
5d0e74eb-03b2-4270-a7dd-68189cb0e82f,"[""Financials & Fintech""]",intermediate,true,2026-05-14 09:05:34.740776+00,2026-05-14 09:05:34.740776+00,"{""demo_age"":""45_54"",""demo_gender"":""female"",""demo_income"":""tier_4"",""q_game_show"":""4"",""q_inflation"":""3"",""q_word_risk"":""2"",""demo_marital"":""married"",""demo_education"":""bachelors"",""q_bond_rotation"":""4"",""q_vacation_loss"":""3"",""q_financial_math"":""3"",""q_geologist_mine"":""2"",""q_diversification"":""3"",""q_friend_describe"":""4"",""q_worst_best_case"":""3"",""q_experience_comfort"":""3"",""q_unexpected_windfall"":""2"",""q_portfolio_allocation"":""2"",""q_financial_knowledge_self"":""2"",""q_investment_participation"":""7""}",10000000,Aggressive Growth Investor
7f5d572a-14ff-48ef-a789-814ca2190926,"[""Finance""]",novice,true,2026-05-15 18:25:25.706184+00,2026-05-15 18:25:25.706184+00,"{""demo_age"":""under_25"",""demo_gender"":""male"",""demo_income"":""tier_1"",""q_game_show"":""1"",""q_inflation"":""1"",""q_word_risk"":""1"",""demo_marital"":""single"",""demo_education"":""high_school"",""q_bond_rotation"":""1"",""q_vacation_loss"":""1"",""q_financial_math"":""3"",""q_geologist_mine"":""1"",""q_diversification"":""1"",""q_friend_describe"":""2"",""q_worst_best_case"":""1"",""q_experience_comfort"":""1"",""q_unexpected_windfall"":""1"",""q_portfolio_allocation"":""1"",""q_financial_knowledge_self"":""1"",""q_investment_participation"":""9""}",10000,Moderate
871ad69a-ad95-40ad-b339-b29c5b96ff99,"[""Technology"",""Green Energy""]",advanced,true,2026-05-14 19:28:09.983366+00,2026-05-17 09:12:47.563+00,"{""demo_age"":""under_25"",""demo_gender"":""male"",""demo_income"":""tier_1"",""q_game_show"":""1"",""q_inflation"":""1"",""q_word_risk"":""1"",""demo_marital"":""single"",""demo_education"":""high_school"",""q_bond_rotation"":""1"",""q_vacation_loss"":""1"",""q_financial_math"":""3"",""q_geologist_mine"":""1"",""q_diversification"":""1"",""q_friend_describe"":""4"",""q_worst_best_case"":""1"",""q_experience_comfort"":""1"",""q_unexpected_windfall"":""1"",""q_portfolio_allocation"":""1"",""q_financial_knowledge_self"":""1"",""q_investment_participation"":""7""}",10000,aggresive
